ax,ay,az,gx,gy,gz,session,reading_index
1296,-2160,180,-2101,1219,-66,2025-11-13_00-07-20,7
1052,-1851,-30,-363,-398,163,2025-11-13_00-07-20,8
944,-1825,-280,2814,214,160,2025-11-13_00-07-20,9
706,-2146,-434,-1361,737,-152,2025-11-13_00-07-20,10
1029,-1828,-211,-603,-526,319,2025-11-13_00-07-20,11
640,-1330,-1364,1477,832,669,2025-11-13_00-07-20,12
657,-1901,-329,-470,-259,146,2025-11-13_00-07-20,13
536,-1661,349,-316,707,405,2025-11-13_00-07-20,14
1482,-1913,-451,-2590,2967,332,2025-11-13_00-07-20,15
577,-1963,-201,-664,461,183,2025-11-13_00-07-20,16
967,-1677,-298,2113,1533,191,2025-11-13_00-07-20,17
718,-1831,-211,-858,501,-7,2025-11-13_00-07-20,18
821,-1855,-434,-1285,211,720,2025-11-13_00-07-20,19
304,-1368,-1170,1024,588,19,2025-11-13_00-07-20,20
557,-1981,-202,-458,125,37,2025-11-13_00-07-20,21
1049,-1462,511,1803,468,194,2025-11-13_00-07-20,22
1163,-2219,77,-1854,658,-125,2025-11-13_00-07-20,23
48,-2045,-176,-767,-160,235,2025-11-13_00-07-20,24
966,-1563,-768,3168,374,6,2025-11-13_00-07-20,25
561,-1918,-288,-876,338,79,2025-11-13_00-07-20,26
240,-1797,203,-1264,-388,111,2025-11-13_00-07-20,27
1102,-1399,-1340,-1669,2184,1017,2025-11-13_00-07-20,28
485,-1928,157,-672,745,79,2025-11-13_00-07-20,29
1139,-1668,-274,2343,1180,-96,2025-11-13_00-07-20,30
715,-2038,-5,-1289,632,33,2025-11-13_00-07-20,31
329,-2843,-917,-1012,-10,245,2025-11-13_00-07-20,32
712,-1377,-1189,1783,-240,184,2025-11-13_00-07-20,33
717,-1885,-411,-707,160,128,2025-11-13_00-07-20,34
821,-1755,95,-439,-1682,8,2025-11-13_00-07-20,35
871,-1207,-1248,-535,352,56,2025-11-13_00-07-20,36
682,-1893,-44,-551,39,173,2025-11-13_00-07-20,37
761,-1583,462,1560,1278,179,2025-11-13_00-07-20,38
680,-1852,-166,-1295,1166,84,2025-11-13_00-07-20,39
618,-2042,-326,-697,-223,-130,2025-11-13_00-07-20,40
768,-1607,-1017,462,1877,1006,2025-11-13_00-07-20,41
653,-1882,-169,-689,228,189,2025-11-13_00-07-20,42
413,-1534,527,139,-1655,305,2025-11-13_00-07-20,43
801,-2429,-330,-2034,1630,-165,2025-11-13_00-07-20,44
772,-1847,-307,-311,-296,295,2025-11-13_00-07-20,45
925,-1888,-89,3053,1104,35,2025-11-13_00-07-20,46
836,-1885,-262,-1340,841,-89,2025-11-13_00-07-20,47
353,-1917,-155,-772,277,-13,2025-11-13_00-07-20,48
771,-1496,-1158,1505,520,746,2025-11-13_00-07-20,49
613,-1836,85,-598,312,192,2025-11-13_00-07-20,50
645,-1210,1080,351,2099,-135,2025-11-13_00-07-20,51
707,-1918,-486,-1433,1516,130,2025-11-13_00-07-20,52
980,-1573,-160,-1367,206,608,2025-11-13_00-07-20,53
928,-1319,-1368,-572,-121,-40,2025-11-13_00-07-20,54
583,-1920,-96,-659,387,56,2025-11-13_00-07-20,55
783,-1752,116,2968,934,256,2025-11-13_00-07-20,56
1356,-2021,3,-2014,522,-74,2025-11-13_00-07-20,57
396,-1929,54,-508,-782,347,2025-11-13_00-07-20,58
898,-1424,-1143,2413,343,546,2025-11-13_00-07-20,59
542,-1950,-316,-471,472,72,2025-11-13_00-08-23,0
930,-1512,544,2227,703,-136,2025-11-13_00-08-23,1
676,-1974,-215,-1202,309,-183,2025-11-13_00-08-23,2
565,-1408,-73,-1528,-1989,684,2025-11-13_00-08-23,3
723,-1690,-597,-1603,562,-73,2025-11-13_00-08-23,4
900,-1883,-301,-353,-219,230,2025-11-13_00-08-23,5
880,-1793,-912,2172,383,536,2025-11-13_00-08-23,6
768,-1854,-22,-541,-318,172,2025-11-13_00-08-23,7
544,-1423,584,72,371,151,2025-11-13_00-08-23,8
1079,-2000,-745,-2625,2761,224,2025-11-13_00-08-23,9
1291,-1805,-227,-1009,701,271,2025-11-13_00-08-23,10
1094,-1453,-1511,-2070,1727,808,2025-11-13_00-08-23,11
888,-1864,112,-344,-885,332,2025-11-13_00-08-23,12
913,-1551,-930,2130,585,375,2025-11-13_00-08-23,13
599,-1865,-148,-529,-103,136,2025-11-13_00-08-23,14
918,-1837,-10,2836,845,164,2025-11-13_00-08-23,15
1112,-1861,-63,-1523,526,-243,2025-11-13_00-08-23,16
881,-1764,-1058,-1193,38,538,2025-11-13_00-08-23,17
830,-1473,-1192,-651,398,43,2025-11-13_00-08-23,18
769,-1838,60,-617,519,203,2025-11-13_00-08-23,19
1141,-1832,-587,2823,185,82,2025-11-13_00-08-23,20
599,-1930,-108,-554,516,263,2025-11-13_00-08-23,21
1114,-1717,-505,1882,1847,551,2025-11-13_00-08-23,22
595,-1934,-386,-944,947,78,2025-11-13_00-08-23,23
682,-1442,394,-428,-683,104,2025-11-13_00-08-23,24
825,-1683,-683,-2075,1561,-44,2025-11-13_00-08-23,25
714,-1722,-257,-494,-138,20,2025-11-13_00-08-23,26
842,-1231,-1316,1304,553,498,2025-11-13_00-08-23,27
595,-1911,-251,-546,-101,83,2025-11-13_00-08-23,28
855,-1608,158,2528,550,-57,2025-11-13_00-08-23,29
738,-1985,-423,-1142,530,-68,2025-11-13_00-08-23,30
870,-1312,310,-1108,-2206,139,2025-11-13_00-08-23,31
1088,-1684,-823,-1923,1847,177,2025-11-13_00-08-23,32
