ax,ay,az,gx,gy,gz,session,reading_index
1003,-2801,-952,-1809,249,-669,2025-11-12_20-06-30,29
197,-1986,-152,-538,427,-175,2025-11-12_20-06-30,30
609,-2002,-783,-723,-448,-457,2025-11-12_20-06-30,31
1087,-2223,-1530,-1062,-2663,-258,2025-11-12_20-06-30,32
1566,-2328,-1613,6393,-642,1390,2025-11-12_20-06-30,33
418,-975,-1593,2038,-1351,428,2025-11-12_20-06-30,34
840,-3871,809,-3758,1092,-752,2025-11-12_20-06-30,35
-16,-1925,19,-943,547,-174,2025-11-12_20-06-30,36
226,-2061,-327,-502,55,-188,2025-11-12_20-06-30,37
-890,-1936,-699,-443,-750,-110,2025-11-12_20-06-30,38
-453,-1473,326,-1068,2303,-386,2025-11-12_20-06-30,39
440,-767,-1433,1393,415,2332,2025-11-12_20-06-30,40
770,-2735,464,-2795,901,-647,2025-11-12_20-06-30,41
305,-1949,261,-893,-143,-449,2025-11-12_20-06-30,42
889,-1843,-251,-605,-159,-247,2025-11-12_20-06-30,43
-132,-1852,-639,-573,-1142,-505,2025-11-12_20-06-30,44
-281,-2605,-226,-920,-1848,-388,2025-11-12_20-06-30,45
795,-3048,-578,5385,1054,1488,2025-11-12_20-06-30,46
315,-905,-1401,1256,440,1294,2025-11-12_20-06-30,47
1074,-2668,229,-2779,1462,-476,2025-11-12_20-06-30,48
311,-1974,-463,-761,-142,-270,2025-11-12_20-06-30,49
202,-2017,-416,-506,344,-151,2025-11-12_20-06-30,50
3346,-1753,63,128,-1845,403,2025-11-12_20-06-30,51
1014,-1602,-1076,2852,-1863,615,2025-11-12_20-06-30,52
735,-2611,19,-3043,669,-775,2025-11-12_20-06-30,53
66,-1857,102,-1081,296,-344,2025-11-12_20-06-30,54
419,-1936,-152,-690,407,-157,2025-11-12_20-06-30,55
-652,-2250,-526,-345,-2633,-96,2025-11-12_20-06-30,56
700,-2950,-580,-2000,1500,-120,2025-11-12_20-07-30,0
970,-3100,-1260,4500,720,2020,2025-11-12_20-07-30,1
430,-1220,-1070,160,1060,480,2025-11-12_20-07-30,2
1030,-2780,410,-2970,250,-620,2025-11-12_20-07-30,3
120,-1940,100,-1350,120,-380,2025-11-12_20-07-30,4
300,-1840,0,-790,30,-320,2025-11-12_20-07-30,5
-130,-1930,-340,700,-1320,380,2025-11-12_20-07-30,6
